"code","division","directorate"
8080201,Direct For Biological Sciences,Div Of Biological Infrastructure
8080202,Direct For Biological Sciences,Div Of Biological Infrastructure
8080203,Direct For Biological Sciences,Div Of Biological Infrastructure
8080204,Direct For Biological Sciences,Div Of Biological Infrastructure
8080205,Direct For Biological Sciences,Div Of Biological Infrastructure
8080206,Direct For Biological Sciences,Div Of Biological Infrastructure
8080207,Direct For Biological Sciences,Div Of Biological Infrastructure
8080208,Direct For Biological Sciences,Div Of Biological Infrastructure
8080300,Direct For Biological Sciences,Div Of Biological Infrastructure
8080301,Direct For Biological Sciences,Div Of Biological Infrastructure
8080302,Direct For Biological Sciences,Div Of Biological Infrastructure
8080303,Direct For Biological Sciences,Div Of Biological Infrastructure
8080304,Direct For Biological Sciences,Div Of Biological Infrastructure
8080305,Direct For Biological Sciences,Div Of Biological Infrastructure
8080306,Direct For Biological Sciences,Div Of Biological Infrastructure
8080307,Direct For Biological Sciences,Div Of Biological Infrastructure
8080308,Direct For Biological Sciences,Div Of Biological Infrastructure
8090000,Direct For Biological Sciences,Division Of Integrative Organismal Systems
8090100,Direct For Biological Sciences,Division Of Integrative Organismal Systems
8090200,Direct For Biological Sciences,Division Of Integrative Organismal Sys
8090300,Direct For Biological Sciences,Division Of Integrative Organismal Sys
8090400,Direct For Biological Sciences,Division Of Integrative Organismal Sys
8090500,Direct For Biological Sciences,Division Of Integrative Organismal Systems
8090600,Direct For Biological Sciences,Division Of Integrative Organismal Systems
8090700,Direct For Biological Sciences,Division Of Integrative Organismal Systems
9030004,"","DIVISION OF MATERIALS DEVELOPMENT,"
10000000,"Office of Budget, Finance, & Award Management","Office of Budget, Finance, & Award Management"
10010000,"Office of Budget, Finance, & Award Management",Budget Division
10010709,"Office of Budget, Finance, & Award Management",Budget Division
10020000,"Office of Budget, Finance, & Award Management",Division of Financial Management
10020300,"Office of Budget, Finance, & Award Management",Division of Financial Management
10020301,"Office of Budget, Finance, & Award Management",Division of Financial Management
10030000,"Office of Budget, Finance, & Award Management",Division of Grants and Agreements
